,loglikelihood,Non-Bias,Bias
must,-0.49154496442463,496,303
drama,-1.2237580713563387,16,4
throw,-0.45781573335970344,48,30
haircut,0.4054824683739413,1,2
living,-0.8601839049573347,103,43
fifth,-1.3862770008541137,7,1
harmony,-1.203955444060159,9,2
witch,0.2231609115799867,3,4
rot,2.3979126330641476,0,10
rant,0.4054824683739413,5,8
folk,-1.0115835514127032,120,43
stuff,-0.575346784637785,15,8
medium,-0.22038270510268199,90,72
real,0.21162971398079705,156,193
nun,1.7360265776985448e-05,1,1
dangerous,0.38567984107776165,33,49
school,-1.8571860172146617,883,137
clap,-0.4054477478423875,2,1
penalty,-0.34828933400243883,16,11
answer,-0.9444442485750746,143,55
fishing,-0.9554940847616595,25,9
murphy,-1.5040600365104972,8,1
dictate,1.7917768294938319,1,11
edict,0.6931645408257223,0,1
rapper,-2.1972072170704426,17,1
protest,0.11334604557277987,24,27
tank,-0.6931298202941684,5,2
riot,-1.46631970852765,12,2
gear,-2.1041167940044305,40,4
tear,-1.634113164758695,40,7
stave,-1.0985949284023329,2,0
sm,0.18233891705973165,4,5
graveyard,0.4054824683739413,1,2
lame,1.6094552726998774,2,14
bed,-0.27441948543598343,24,18
wind,-0.9985114698453503,37,13
neck,0.6931645408257223,2,5
nd,-1.5314590106986115,36,7
coalition,-1.049804764232901,99,34
till,-0.34828933400243883,16,11
skin,-0.9028503512762374,36,14
mn,-0.7884400000984934,21,9
hi,1.7360265776985448e-05,8,8
illiterate,1.7917768294938319,0,5
moron,3.7376869785491453,0,41
read,-0.5056224264678485,576,347
force,-0.19669293398027735,279,229
lip,1.7360265776985448e-05,7,7
reading,-1.4603849730078355,111,25
feature,-4.85201290365384,127,0
han,-0.4054477478423875,2,1
solo,-0.6931298202941684,3,1
human,-0.7915698931074209,191,86
purple,-1.9252735015868008,47,6
holy,-0.4274266545611627,22,14
lick,1.704765452504202,1,10
ball,-0.6390625990238925,35,18
testicle,1.0986296489338867,0,2
ii,-2.754552856471326,109,6
aliyah,0.6931645408257223,0,1
stamp,0.07147632424792177,26,28
wrap,-0.6466098046592756,20,10
ab,-1.9458927887895363,13,1
dub,1.7360265776985448e-05,1,1
begin,-1.4326010725283522,242,57
fe,-0.9162733716083782,9,3
train,-1.655405665410147,88,16
wagon,1.7360265776985448e-05,1,1
spot,-1.6916586504052955,37,6
song,-1.2192229161909476,43,12
duet,-0.9162733716083782,4,1
pocket,-0.5108082635002138,14,8
graduate,-1.438462754024684,58,13
delaware,-1.7047307319726483,10,1
claim,-0.49157690157232625,102,62
spell,-2.079424181414059,23,2
mankind,-0.8109128559505518,8,3
same,0.05056963942860823,134,141
barman,0.6931645408257223,0,1
choice,-0.5108082635002138,99,59
opening,-1.1856063053919625,107,32
home,-1.4277141907182869,541,129
worry,-0.5020745835314591,37,22
feed,0.3136749191208185,18,25
scan,-1.9458927887895363,6,0
scary,0.11780039592216032,7,8
ge,-2.159466889087595,25,2
society,-0.9067039205922274,51,20
pair,-0.587769304636342,8,4
right,-0.2487217382373966,553,431
stole,0.4054824683739413,1,2
rainbow,-0.28766471218600403,3,2
return,-1.0891608961689743,210,70
staff,-1.8274601915643571,341,54
protocol,0.4054824683739413,1,2
fumble,-0.6931298202941684,1,0
tho,1.2993003443960376,2,10
gain,-1.2150052802467441,90,26
follower,0.5108429840317675,11,19
bush,-1.3581061238874175,34,8
window,-3.0602534344257855,63,2
soul,-1.2237580713563387,33,9
dickhead,4.8828192828521475,0,131
mba,0.6931645408257223,0,1
egghead,0.6931645408257223,0,1
science,-2.0594899665132416,148,18
technological,2.8903891181619414,0,17
progress,-1.1169440670705293,164,53
hire,-1.6902726487974182,102,18
sake,0.587804025167896,4,8
candlestick,0.6931645408257223,0,1
flock,0.6931645408257223,0,1
nsc,0.6931645408257223,0,1
ma,0.17437074741055467,20,24
polo,1.7360265776985448e-05,1,1
boxer,-1.6094205521683234,9,1
rocket,-1.749182494543482,22,3
